# RPi 16M/498M GPU/CPU RAM split (0MB swap)
# ondemand 700/950 Mhz
# 
# export GOARM=6
# 
benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove32                             201          181   -9.95%
BenchmarkMemmove4K                            2416         2428   +0.50%
BenchmarkMemmove64K                         194922       203942   +4.63%
BenchmarkMemmove4M                        23122400     24855677   +7.50%
BenchmarkMemmove64M                      383464200    362895325   -5.36%
BenchmarkFinalizer                            6187         3429  -44.58%
BenchmarkFinalizerRun                       359082        19903  -94.46%
BenchmarkStackGrowth                         27252        27277   +0.09%
BenchmarkStackGrowthDeep                   3281873      3190852   -2.77%
BenchmarkCreateGoroutines                     3031         2517  -16.96%
BenchmarkCreateGoroutinesParallel             3028         2568  -15.19%
BenchmarkMatmult                               198          211   +6.57%
BenchmarkIfaceCmp100                          3603         3202  -11.13%
BenchmarkIfaceCmpNil100                       3169         3416   +7.79%
BenchmarkDefer                                5712          649  -88.64%
BenchmarkDefer10                              5056          598  -88.17%
BenchmarkDeferMany                            6204         1402  -77.40%
BenchmarkCompareStringEqual                    780          236  -69.74%
BenchmarkCompareStringIdentical                773           85  -88.89%
BenchmarkCompareStringSameLength               402          173  -56.97%
BenchmarkCompareStringDifferentLength           20           18   -8.00%
BenchmarkCompareStringBigUnaligned        58884280     16898102  -71.30%
BenchmarkCompareStringBig                 60794050     17266630  -71.60%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          159.19       176.07    1.11x
BenchmarkMemmove4K                         1694.97      1686.45    0.99x
BenchmarkMemmove64K                         336.22       321.35    0.96x
BenchmarkMemmove4M                          181.40       168.75    0.93x
BenchmarkMemmove64M                         175.01       184.93    1.06x
BenchmarkCompareStringBigUnaligned           17.81        62.05    3.48x
BenchmarkCompareStringBig                    17.25        60.73    3.52x
