# linux/386, 2Gb ram, Atom 330 @ 1.8Ghz
# Ubuntu 12.04.1
benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove64K                          34978        34970   -0.02%
BenchmarkMemmove4M                         4715352      4766514   +1.09%
BenchmarkMemmove64M                       76247250     75410923   -1.10%
BenchmarkFinalizer                            1232         1000  -18.83%
BenchmarkFinalizerRun                         8541         4353  -49.03%
BenchmarkStackGrowth                          5252         5245   -0.13%
BenchmarkStackGrowthDeep                   1307113      1289604   -1.34%
BenchmarkCreateGoroutines                     1009          863  -14.47%
BenchmarkCreateGoroutinesParallel             1033          862  -16.55%
BenchmarkMatmult                                77           74   -5.01%
BenchmarkIfaceCmp100                          2400          516  -78.50%
BenchmarkIfaceCmpNil100                       2338          767  -67.19%
BenchmarkDefer                                 951          444  -53.31%
BenchmarkDefer10                               889          404  -54.56%
BenchmarkDeferMany                            1135          576  -49.25%
BenchmarkCompareStringEqual                    590           56  -90.41%
BenchmarkCompareStringIdentical                545           34  -93.76%
BenchmarkCompareStringSameLength               262           49  -81.26%
BenchmarkCompareStringDifferentLength            6            6   +0.16%
BenchmarkCompareStringBigUnaligned        36058580       915413  -97.46%
BenchmarkCompareStringBig                 36044780       836539  -97.68%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          281.55       400.22    1.42x
BenchmarkMemmove4K                         2926.40      3008.03    1.03x
BenchmarkMemmove64K                        1873.61      1874.03    1.00x
BenchmarkMemmove4M                          889.50       879.95    0.99x
BenchmarkMemmove64M                         880.15       889.91    1.01x
BenchmarkCompareStringBigUnaligned           29.08      1145.48   39.39x
BenchmarkCompareStringBig                    29.09      1253.48   43.09x

benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                      37576         7006  -81.36%
BenchmarkReadRequestChrome                      72703        50061  -31.14%
BenchmarkReadRequestCurl                        35758        24795  -30.66%
BenchmarkReadRequestApachebench                 36614        24662  -32.64%
BenchmarkReadRequestSiege                       48937        33529  -31.49%
BenchmarkReadRequestWrk                         26359        15934  -39.55%
BenchmarkClientServer                          641731       323169  -49.64%
BenchmarkClientServerParallel4                 695581       317010  -54.43%
BenchmarkClientServerParallel64                650429       322228  -50.46%
