# benchmark on a Lenovo Thinkpad T520
# Linux t520 3.8.0-19-generic #30-Ubuntu SMP Wed May 1 16:35:23 UTC 2013 x86_64 x86_64 x86_64 GNU/Linux
# compiled with gc
# Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz

benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove4K                             173          168   -2.89%
BenchmarkMemmove64K                           3275         3287   +0.37%
BenchmarkMemmove4M                          608565       616562   +1.31%
BenchmarkMemmove64M                       11817190     11874715   +0.49%
BenchmarkFinalizer                             187          159  -14.97%
BenchmarkFinalizerRun                         1422          651  -54.22%
BenchmarkStackGrowth                           800          675  -15.62%
BenchmarkStackGrowthDeep                     96905        87076  -10.14%
BenchmarkCreateGoroutines                      146           99  -31.85%
BenchmarkCreateGoroutinesParallel              146           99  -31.92%
BenchmarkMatmult                                12           12   -1.61%
BenchmarkIfaceCmp100                           172          220  +27.91%
BenchmarkIfaceCmpNil100                        154          158   +2.60%
BenchmarkDefer                                 137           90  -34.09%
BenchmarkDefer10                               128           84  -33.83%
BenchmarkDeferMany                             167          120  -28.14%
BenchmarkCompareStringEqual                     44            9  -79.43%
BenchmarkCompareStringIdentical                 44            4  -90.70%
BenchmarkCompareStringSameLength                19            8  -56.06%
BenchmarkCompareStringDifferentLength            1            1   +0.57%
BenchmarkCompareStringBigUnaligned         1240966        70225  -94.34%
BenchmarkCompareStringBig                  1241872        65064  -94.76%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                         1269.55      1425.89    1.12x
BenchmarkMemmove4K                        23665.32     24282.91    1.03x
BenchmarkMemmove64K                       20010.15     19936.47    1.00x
BenchmarkMemmove4M                         6892.11      6802.72    0.99x
BenchmarkMemmove64M                        5678.92      5651.41    1.00x
BenchmarkCompareStringBigUnaligned          844.98     14931.70   17.67x
BenchmarkCompareStringBig                   844.36     16116.21   19.09x
