# linux/amd64 Lenovo x220, 8Gb ram, Core i5 2.5Ghz
# Ubuntu 13.04 
benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove64M                       12911970     12869098   -0.33%
BenchmarkFinalizer                             202          174  -13.86%
BenchmarkFinalizerRun                         1557          707  -54.59%
BenchmarkStackGrowth                           861          728  -15.45%
BenchmarkStackGrowthDeep                    104090        93399  -10.27%
BenchmarkCreateGoroutines                      157          109  -30.57%
BenchmarkCreateGoroutinesParallel              157          109  -30.57%
BenchmarkMatmult                                10           10   +1.96%
BenchmarkIfaceCmp100                           185          237  +28.11%
BenchmarkIfaceCmpNil100                        166          172   +3.61%
BenchmarkDefer                                 151           97  -35.17%
BenchmarkDefer10                               138           91  -33.70%
BenchmarkDeferMany                             181          132  -27.07%
BenchmarkCompareStringEqual                     47            9  -79.32%
BenchmarkCompareStringIdentical                 47            4  -90.72%
BenchmarkCompareStringSameLength                20            9  -55.96%
BenchmarkCompareStringDifferentLength            1            1   +4.23%
BenchmarkCompareStringBigUnaligned         1349402        81921  -93.93%
BenchmarkCompareStringBig                  1349954        79114  -94.14%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                         1175.86      1321.74    1.12x
BenchmarkMemmove4K                        22019.02     22423.74    1.02x
BenchmarkMemmove64K                       18352.96     18601.31    1.01x
BenchmarkMemmove4M                         5238.73      5211.86    0.99x
BenchmarkMemmove64M                        5197.41      5214.73    1.00x
BenchmarkCompareStringBigUnaligned          777.07     12799.85   16.47x
BenchmarkCompareStringBig                   776.76     13254.10   17.06x

benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       4795         1442  -69.93%
BenchmarkReadRequestChrome                      11562         7371  -36.25%
BenchmarkReadRequestCurl                         5357         3900  -27.20%
BenchmarkReadRequestApachebench                  5482         3886  -29.11%
BenchmarkReadRequestSiege                        7597         5283  -30.46%
BenchmarkReadRequestWrk                          3704         2609  -29.56%
BenchmarkClientServer                          444218        51352  -88.44%
BenchmarkClientServerParallel4                 475688        48408  -89.82%
BenchmarkClientServerParallel64                383922        49843  -87.02%
BenchmarkServer                                383703       311134  -18.91%
