# linux/arm, pandaboard, ARMv7 OMAP4 processor at 1Ghz
# archlinuxarm

benchmark                         old ns/op    new ns/op    delta
BenchmarkConvI2I                               636          290  -54.40%
BenchmarkAssertE2T                             112          100  -10.71%
BenchmarkAssertE2TLarge                        120          104  -13.33%
BenchmarkAssertE2I                             647          305  -52.86%
BenchmarkAssertI2T                             124          101  -18.55%
BenchmarkAssertI2I                             648          313  -51.70%
BenchmarkAssertI2E                              55           60   +8.66%
BenchmarkAssertE2E                              12           13  +10.40%
BenchmarkHashStringSpeed                      1386          839  -39.47%
BenchmarkHashInt32Speed                        984          553  -43.80%
BenchmarkHashInt64Speed                       1320          862  -34.70%
BenchmarkHashStringArraySpeed                 3705         2193  -40.81%
BenchmarkMegMap                           83891850          211  -100.00%
BenchmarkMegOneMap                        91728800          187  -100.00%
BenchmarkMegEqMap                        117696350     10014866  -91.49%
BenchmarkMegEmptyMap                      91702850           42  -100.00%
BenchmarkSmallStrMap                           681          231  -66.08%
BenchmarkMapStringKeysEight_16                1990          200  -89.95%
BenchmarkMapStringKeysEight_32                3344          171  -94.89%
BenchmarkMapStringKeysEight_64                6113          167  -97.27%
BenchmarkMapStringKeysEight_1M            91698250          168  -100.00%
BenchmarkIntMap                                967          129  -86.66%
BenchmarkRepeatedLookupStrMapKey32            3473         2375  -31.62%
BenchmarkRepeatedLookupStrMapKey1M        91755050     66554389  -27.47%
BenchmarkNewEmptyMap                         10370         1325  -87.22%
BenchmarkMemmove32                             103           97   -5.05%
BenchmarkMemmove4K                            1559         1555   -0.26%
BenchmarkMemmove64K                          72804        72748   -0.08%
BenchmarkMemmove4M                        30147280     29606516   -1.79%
BenchmarkMemmove64M                      481192000    476113945   -1.06%
BenchmarkFinalizer                            4206         1627  -61.32%
BenchmarkFinalizerRun                       212757         9030  -95.76%
BenchmarkStackGrowth                          7987         7030  -11.98%
BenchmarkStackGrowthDeep                   1118848      1027115   -8.20%
BenchmarkCreateGoroutines                     1904         1409  -26.00%
BenchmarkCreateGoroutinesParallel             1898         1406  -25.92%
BenchmarkMatmult                               176          165   -6.25%
BenchmarkIfaceCmp100                          2499         2474   -1.00%
BenchmarkIfaceCmpNil100                       2159         2034   -5.79%
BenchmarkDefer                                3032          440  -85.49%
BenchmarkDefer10                              2998          417  -86.09%
BenchmarkDeferMany                            3731          887  -76.23%
BenchmarkCompareStringEqual                    577          202  -64.99%
BenchmarkCompareStringIdentical                580           53  -90.78%
BenchmarkCompareStringSameLength               265          166  -37.36%
BenchmarkCompareStringDifferentLength           12           10  -19.20%
BenchmarkCompareStringBigUnaligned        39712780     10010441  -74.79%
BenchmarkCompareStringBig                 38380980     10080326  -73.74%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          307.84       327.35    1.06x
BenchmarkMemmove4K                         2626.14      2632.53    1.00x
BenchmarkMemmove64K                         900.16       900.85    1.00x
BenchmarkMemmove4M                          139.13       141.67    1.02x
BenchmarkMemmove64M                         139.46       140.95    1.01x
BenchmarkCompareStringBigUnaligned           26.40       104.75    3.97x
BenchmarkCompareStringBig                    27.32       104.02    3.81x
