# 3.4 GHz Intel Core i7, 16 GB 1600 MHz DDR3
# OS X 10.8.3 (Build 12D78)
# iMac 27-inch, Late 2012
benchmark                         old ns/op    new ns/op    delta
BenchmarkMemmove64M                        8087420      8032103   -0.68%
BenchmarkFinalizer                             167          135  -19.16%
BenchmarkFinalizerRun                         1374          542  -60.55%
BenchmarkStackGrowth                           719          555  -22.81%
BenchmarkStackGrowthDeep                     91547        77579  -15.26%
BenchmarkCreateGoroutines                      144          103  -28.47%
BenchmarkCreateGoroutinesParallel              144          103  -28.47%
BenchmarkMatmult                                11            6  -39.39%
BenchmarkIfaceCmp100                           160          191  +19.38%
BenchmarkIfaceCmpNil100                        143          148   +3.50%
BenchmarkDefer                                 158          107  -32.28%
BenchmarkDefer10                               147          101  -31.29%
BenchmarkDeferMany                             180          148  -17.78%
BenchmarkCompareStringEqual                     36            8  -75.33%
BenchmarkCompareStringIdentical                 35            4  -88.64%
BenchmarkCompareStringSameLength                16            7  -52.29%
BenchmarkCompareStringDifferentLength            1            1   -1.21%
BenchmarkCompareStringBigUnaligned         1194884        61367  -94.86%
BenchmarkCompareStringBig                  1195016        59094  -95.05%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          985.97      1062.39    1.08x
BenchmarkMemmove4K                        36839.40     38337.52    1.04x
BenchmarkMemmove64K                       28912.91     29036.83    1.00x
BenchmarkMemmove4M                        15045.13     15025.40    1.00x
BenchmarkMemmove64M                        8297.93      8355.08    1.01x
BenchmarkCompareStringBigUnaligned          877.56     17086.96   19.47x
BenchmarkCompareStringBig                   877.47     17744.10   20.22x

benchmark                                   old ns/op    new ns/op    delta
BenchmarkHeaderWriteSubset                       3996         1241  -68.94%
BenchmarkReadRequestChrome                       9476         5606  -40.84%
BenchmarkReadRequestCurl                         4325         2956  -31.65%
BenchmarkReadRequestApachebench                  4457         2922  -34.44%
BenchmarkReadRequestSiege                        6263         4019  -35.83%
BenchmarkReadRequestWrk                          2972         1947  -34.49%
BenchmarkClientServer                           98723        66990  -32.14%
BenchmarkClientServerParallel4                 101520        48721  -52.01%
BenchmarkClientServerParallel64                 86334        46588  -46.04%
BenchmarkServer                                105200        88527  -15.85%
BenchmarkServerFakeConnNoKeepAlive              24912        13203  -47.00%
BenchmarkServerFakeConnWithKeepAlive            18914        10807  -42.86%
BenchmarkServerFakeConnWithKeepAliveLite        14621         7247  -50.43%
BenchmarkServerHandlerTypeLen                   14075         8736  -37.93%
BenchmarkServerHandlerNoLen                     14598         8103  -44.49%
BenchmarkServerHandlerNoType                    13817         8376  -39.38%
BenchmarkServerHandlerNoHeader                  14580         6815  -53.26%

benchmark                                    old MB/s     new MB/s  speedup
BenchmarkReadRequestChrome                      64.47       108.99    1.69x
BenchmarkReadRequestCurl                        18.03        26.38    1.46x
BenchmarkReadRequestApachebench                 18.40        28.05    1.52x
BenchmarkReadRequestSiege                       24.11        37.56    1.56x
BenchmarkReadRequestWrk                         13.46        20.54    1.53x
