# linux/arm, QNAP-119P II, 512Mb ram, ARM5TJE kirkwood processor at 2Ghz
# debian/sid

# baseline

benchmark                         old ns/op    new ns/op    delta
BenchmarkConvI2I                               364          198  -45.60%
BenchmarkAssertE2T                              82           73  -10.37%
BenchmarkAssertE2TLarge                        116          108   -6.90%
BenchmarkAssertE2I                             377          210  -44.30%
BenchmarkAssertI2T                             116          105   -9.48%
BenchmarkAssertI2I                             375          211  -43.73%
BenchmarkAssertI2E                              33           32   -2.97%
BenchmarkAssertE2E                              12           12   +0.83%
BenchmarkHashStringSpeed                       925          640  -30.81%
BenchmarkHashInt32Speed                        641          399  -37.75%
BenchmarkHashInt64Speed                        910          636  -30.11%
BenchmarkHashStringArraySpeed                 2402         1674  -30.31%
BenchmarkMegMap                           62723040          160  -100.00%
BenchmarkMegOneMap                        62720980          191  -100.00%
BenchmarkMegEqMap                         81199350      7489342  -90.78%
BenchmarkMegEmptyMap                      62739960           26  -100.00%
BenchmarkSmallStrMap                           442          198  -55.20%
BenchmarkMapStringKeysEight_16                1298          187  -85.59%
BenchmarkMapStringKeysEight_32                2250          163  -92.76%
BenchmarkMapStringKeysEight_64                4149          163  -96.07%
BenchmarkMapStringKeysEight_1M            62733000          163  -100.00%
BenchmarkIntMap                                612          122  -80.07%
BenchmarkRepeatedLookupStrMapKey32            2416         1904  -21.19%
BenchmarkRepeatedLookupStrMapKey1M        62717800     54419241  -13.23%
BenchmarkNewEmptyMap                          6993         1097  -84.31%
BenchmarkMemmove32                              82           77   -6.06%
BenchmarkMemmove4K                            1597         1597   +0.00%
BenchmarkMemmove64K                          42811        43261   +1.05%
BenchmarkMemmove4M                        10802206     11063473   +2.42%
BenchmarkMemmove64M                      174994100    164899407   -5.77%
BenchmarkFinalizer                            2649         1317  -50.28%
BenchmarkFinalizerRun                       147859         7000  -95.27%
BenchmarkStackGrowth                         24127        23563   -2.34%
BenchmarkStackGrowthDeep                   2618767      2597136   -0.83%
BenchmarkCreateGoroutines                     1264         1031  -18.43%
BenchmarkCreateGoroutinesParallel             1278         1031  -19.33%
BenchmarkMatmult                              2851         2421  -15.08%
BenchmarkIfaceCmp100                          1673         1575   -5.86%
BenchmarkIfaceCmpNil100                       1521         1572   +3.35%
BenchmarkDefer                                1974          295  -85.06%
BenchmarkDefer10                              1954          276  -85.88%
BenchmarkDeferMany                            2500          677  -72.92%
BenchmarkCompareStringEqual                    352          103  -70.74%
BenchmarkCompareStringIdentical                352           34  -90.28%
BenchmarkCompareStringSameLength               171           73  -57.02%
BenchmarkCompareStringDifferentLength           10            9   -9.72%
BenchmarkCompareStringBigUnaligned        25346340      7165793  -71.73%
BenchmarkCompareStringBig                 25208760      7241537  -71.27%

benchmark                                 old MB/s     new MB/s  speedup
BenchmarkMemmove32                          387.84       412.67    1.06x
BenchmarkMemmove4K                         2564.56      2564.74    1.00x
BenchmarkMemmove64K                        1530.81      1514.86    0.99x
BenchmarkMemmove4M                          388.28       379.11    0.98x
BenchmarkMemmove64M                         383.49       406.97    1.06x
BenchmarkCompareStringBigUnaligned           41.37       146.33    3.54x
BenchmarkCompareStringBig                    41.60       144.80    3.48x
